Window,Return,Omega,Min weight,Max weight,L, Time, Gap
window 0,-0.0284271,0.00174182,0.01,0.236058,-0.0787783,401.33,1.48629e+07
window 1,-0.007474,4.05553,0.01,0.0922817,0.00744724,401.442,5306.82
window 2,0.000362496,2.45193,0.01,0.10752,0.00744724,401.449,8380.08
window 3,0.00652066,26.9183,0.01,0.0391803,0.00745131,401.651,746.737
window 4,-0.008826,13.6678,0.01,0.0735752,0.00745131,401.042,1461.5
window 5,0.00973971,19.3536,0.01,0.0613173,0.00745131,401.025,1055.09
window 6,-0.0057347,18.0755,0.01,0.0755934,0.00749412,401.556,1140.15
window 7,0.0168579,8.02556,0.01,0.0686373,0.00749038,401.549,2617.3
window 8,-0.015481,23.0197,0.01,0.0513098,0.0075156,401.266,1185.39
window 9,0.0219415,7.93814,0.01,0.072699,0.0075156,401.522,2679.62
window 10,0.0173195,23.3333,0.01,0.0696739,0.00759104,401.342,883.377
window 11,-0.00815707,11.7189,0.01,0.0622888,0.00763298,401.157,1996.04
window 12,-0.0221165,1.19703,0.01,0.303046,0.00763298,401.372,16339.5
window 13,-0.0189623,10.4589,0.01,0.0529282,0.00763298,401.978,1763.2
window 14,-0.0443615,9.9148,0.01,0.0901856,0.00763298,401.541,1904.63
window 15,-0.0436489,1.49657,0.01,0.0873549,0.00763119,401.815,14147.2
window 16,0.0380167,1.17192,0.01,0.207077,0.00763119,401.498,17865.2
window 17,0.0126443,15.2023,0.01,0.0723011,0.00804823,401.364,1283.13
window 18,0.00386692,31.9744,0.01,0.051011,0.00806693,401.52,575.018
window 19,0.000662828,27.3529,0.01,0.0544631,0.00806693,401.916,623.344
window 20,0.00371575,32.5665,0.01,0.0631041,0.0080668,402.653,530.201
window 21,0.00474406,28.5021,0.01,0.0570125,0.0080668,401.949,587.037
window 22,0.012053,26.051,0.01,0.0525517,0.00803314,401.364,585.27
window 23,0.00492058,51.9663,0.01,0.0609427,0.00806267,401.81,297.685
window 24,0.00291498,39.6757,0.01,0.0634003,0.00806267,401.081,397.009
window 25,0.0123674,27.7073,0.01,0.0625947,0.00805789,401.172,590.63
window 26,-0.000933518,41.1873,0.01,0.0427029,0.00781206,401.663,311.785
window 27,0.0124444,38.404,0.01,0.0493277,0.00781206,401.36,341.071
window 28,0.00301007,34.2889,0.01,0.0512947,0.00792873,401.221,524.634
window 29,0.0059738,27.7546,0.01,0.0545215,0.00792815,400.878,690.741
window 30,0.00215824,30.1475,0.01,0.0456704,0.00789697,401.101,719.696
window 31,-0.00655471,26.509,0.01,0.0484633,0.00789697,401.077,793.575
window 32,0.0110743,22.576,0.01,0.0687944,0.00778218,401.613,922.454
window 33,0.00704778,28.1702,0.01,0.057266,0.00780001,400.761,705.926
window 34,-0.00696874,21.407,0.01,0.0816568,0.00778428,400.828,870.739
window 35,0.0157848,26.2835,0.01,0.076869,0.00778425,400.723,688.584
window 36,-0.00429789,42.562,0.01,0.0604724,0.00766136,400.694,555.514
window 37,0.00355714,31.8186,0.01,0.0603869,0.00766136,400.749,920.355
window 38,0.0274275,26.3954,0.01,0.0676003,0.00762169,400.765,1200.66
window 39,0.00864362,32.658,0.01,0.0425413,0.00786863,400.757,579.531
window 40,0.0112206,25.3806,0.01,0.0527374,0.00786863,401.218,737.952
window 41,0.0115051,16.1323,0.01,0.0518872,0.00797743,402.044,1282.03
window 42,0.00811159,24.3102,0.01,0.0382712,0.00798293,401.534,820.6
window 43,0.019634,18.0523,0.01,0.052796,0.00783396,401.447,936.769
window 44,0.0178816,19.864,0.01,0.0409391,0.00780151,401.194,731.548
window 45,0.00224572,25.5916,0.01,0.0509962,0.00784391,400.998,492.319
window 46,0.00700261,23.8364,0.01,0.0507118,0.0078322,401.604,572.074
window 47,0.00480596,23.6016,0.01,0.0763331,0.00781636,401.274,577.321
window 48,0.0036404,23.7537,0.01,0.0568027,0.00781644,402.529,624.688
window 49,-0.00522127,19.8737,0.01,0.051595,0.00781644,401.179,735.985
window 50,-0.000782072,26.6261,0.01,0.0521299,0.00781264,401.192,461.63
